"Id";"Référence";"Empreinte";"Quantité";"Désignation";"Fournisseur et réf";
1;"R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"10k";;;
2;"R2,R1,R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"330";;;
3;"POT2,POT3,POT1";"Pot_10k";3;"R_Potentiometer_US";;;
4;"D3";"LED_D5.0mm";1;"LED_Rouge";;;
5;"J2";"header lyligo";1;"Lilygo";;;
6;"J1";"hearder accelerometre";1;"Accéléromètre";;;
7;"D2";"LED_D5.0mm";1;"LED_Bleue";;;
8;"SW1";"BoutonProjet";1;"SW_Push";;;
9;"D1";"LED_D5.0mm";1;"LED_VERTE";;;
