"Id";"Référence";"Empreinte";"Quantité";"Désignation";"Fournisseur et réf";
1;"D1";"LED_0805_2012Metric";1;"LED_Rouge";;;
2;"R1";"R_0805_2012Metric";1;"330";;;
3;"J1";"FanPinHeader_1x03_P2.54mm_Vertical";1;"Conn_3pin";;;
